ind,var_concat,ind_lab,source,sheet,priority,aggregation,wt_var,sub_weight,year_cut,pc_comp_cut,position
Comp.02,COMP_EDU_YR_L02__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Number of years of compulsory pre-primary education ,UIS,1,1,pc_true,,NA,4,33,1
Comp.2t3,COMP_EDU_YR_L1T3__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Number of years of compulsory primary and secondary education ,UIS,1,1,pc_true,,NA,4,33,2
Free.02,FREE_EDU_YR_L02__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Number of years of free pre-primary education ,UIS,1,1,pc_true,,NA,4,33,3
Free.2t3,FREE_EDU_YR_L1T3__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Number of years of free primary and secondary education,UIS,1,1,pc_true,,NA,4,33,4
Entry.age.1,TH_ENTRY_AGE_YR_L1__T__T_TH_ENTRY_AGE_G1_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Theoretical duration of pre-primary education (years),UIS,1,1,median,,NA,4,33,5
Years.dur.02,TH_DUR_YR_L02__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Theoretical duration of primary education (years),UIS,1,1,median,,NA,4,33,6
Years.dur.1,TH_DUR_YR_L1__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Theoretical duration of primary education (years),UIS,1,1,median,,NA,4,33,7
Years.dur.2,TH_DUR_YR_L2__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Theoretical duration of lower-secondary education (years),UIS,1,1,median,,NA,4,33,8
Years.dur.3,TH_DUR_YR_L3__T__T__T__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,Theoretical duration of upper-secondary education (years),UIS,1,1,median,,NA,4,33,9
SAP.02,SAP_PER_L02__T__T_SCH_AGE_GROUP__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,"Population of the official age for  pre-primary education, both sexes (number)",UIS,1,1,sum,,NA,4,33,10
SAP.1,SAP_PER_L1__T__T_SCH_AGE_GROUP__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,"Population of the official age for primary education, both sexes (number)",UIS,1,1,sum,,NA,4,33,11
SAP.2t3,SAP_PER_L2_3__T__T_SCH_AGE_GROUP__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,"Population of the official age for secondary education, both sexes (number)",UIS,1,1,sum,,NA,4,33,12
SAP.5t8,SAP_PER_L5T8__T__T_SCH_AGE_GROUP__T_INST_T__Z__Z__T__T__T__Z__Z__Z__Z__Z_W00_W00_NA_NA_NA,"Population of the official age for secondary education, both sexes (number)",UIS,1,1,sum,,NA,4,33,13
