survey,iso_code3,country,year,group,category,adjustment,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2
MICS,AFG,Afghanistan,2011,location,rural,1,34.42414,18.44479,10.14488
MICS,AFG,Afghanistan,2011,location,urban,1,67.48992,44.68112,27.87143
MICS,AFG,Afghanistan,2011,poorest by sex,poorest female,1,8.211533,0.0315928,0.3961667
MICS,AFG,Afghanistan,2011,poorest by sex,poorest male,1,30.98901,14.66348,5.296718
MICS,AFG,Afghanistan,2011,sex,female,1,26.63788,11.50881,5.562393
MICS,AFG,Afghanistan,2011,sex,male,1,53.74893,34.65255,20.62782
MICS,AFG,Afghanistan,2011,total,total,1,40.72569,23.377,13.71896
MICS,AFG,Afghanistan,2011,wealth,quintile 1,1,20.69909,7.825147,2.92052
MICS,AFG,Afghanistan,2011,wealth,quintile 2,1,26.23514,12.40765,4.485237
MICS,AFG,Afghanistan,2011,wealth,quintile 3,1,33.3782,18.29416,9.407354
MICS,AFG,Afghanistan,2011,wealth,quintile 4,1,47.44826,26.95416,16.13739
MICS,AFG,Afghanistan,2011,wealth,quintile 5,1,67.96164,45.32087,28.42165
DHS,AFG,Afghanistan,2015,location,rural,1,48.36112,30.35469,16.75595
DHS,AFG,Afghanistan,2015,location,urban,1,72.21916,56.30906,39.85865
DHS,AFG,Afghanistan,2015,poorest by sex,poorest female,1,30.65039,13.243,4.426807
DHS,AFG,Afghanistan,2015,poorest by sex,poorest male,1,57.38519,38.12653,19.839
DHS,AFG,Afghanistan,2015,sex,female,1,38.98532,24.51456,14.94535
DHS,AFG,Afghanistan,2015,sex,male,1,69.89037,50.02242,32.25053
DHS,AFG,Afghanistan,2015,total,total,1,54.69993,37.21772,23.37117
DHS,AFG,Afghanistan,2015,wealth,quintile 1,1,44.52292,25.96513,12.11376
DHS,AFG,Afghanistan,2015,wealth,quintile 2,1,46.15353,28.25193,12.99129
DHS,AFG,Afghanistan,2015,wealth,quintile 3,1,44.36565,27.52962,14.40866
DHS,AFG,Afghanistan,2015,wealth,quintile 4,1,59.28818,38.64309,23.39303
DHS,AFG,Afghanistan,2015,wealth,quintile 5,1,76.75301,61.81381,46.01691
MICS,ALB,Albania,2000,location,rural,1,95.07298,91.41885,36.44206
MICS,ALB,Albania,2000,location,urban,1,95.41548,95.81641,67.94353
MICS,ALB,Albania,2000,poorest by sex,poorest female,1,96.88706,83.45203,23.2966
MICS,ALB,Albania,2000,poorest by sex,poorest male,1,90.72095,92.17376,34.86355
MICS,ALB,Albania,2000,sex,female,1,96.24905,92.8642,46.39577
MICS,ALB,Albania,2000,sex,male,1,94.14825,92.88199,46.77204
MICS,ALB,Albania,2000,total,total,1,95.19022,92.87313,46.5811
MICS,ALB,Albania,2000,wealth,quintile 1,1,93.75146,87.5246,29.90508
MICS,ALB,Albania,2000,wealth,quintile 2,1,93.75296,90.4827,36.68102
MICS,ALB,Albania,2000,wealth,quintile 3,1,96.55811,95.77075,41.08945
MICS,ALB,Albania,2000,wealth,quintile 4,1,95.89533,97.20033,69.46741
MICS,ALB,Albania,2000,wealth,quintile 5,1,96.4032,93.66195,59.50827
MICS,ALB,Albania,2005,location,rural,0,99.21935,97.9437,34.3305
MICS,ALB,Albania,2005,location,urban,0,98.31026,95.51036,67.0151
MICS,ALB,Albania,2005,poorest by sex,poorest female,0,99.32436,98.94505,14.30468
MICS,ALB,Albania,2005,poorest by sex,poorest male,0,100,94.17944,19.04491
MICS,ALB,Albania,2005,sex,female,0,98.81259,98.03728,46.35247
MICS,ALB,Albania,2005,sex,male,0,99.00951,96.21042,47.56593
MICS,ALB,Albania,2005,total,total,0,98.91217,97.08875,46.94886
MICS,ALB,Albania,2005,wealth,quintile 1,0,99.6634,96.52132,16.57294
MICS,ALB,Albania,2005,wealth,quintile 2,0,98.93381,96.17774,31.49696
MICS,ALB,Albania,2005,wealth,quintile 3,0,98.0299,95.50131,52.52392
MICS,ALB,Albania,2005,wealth,quintile 4,0,98.24512,98.74645,59.6813
MICS,ALB,Albania,2005,wealth,quintile 5,0,99.595,98.81146,76.73009
DHS,ALB,Albania,2009,location,rural,0,98.43113,53.08401,26.50745
DHS,ALB,Albania,2009,location,urban,0,97.81924,82.8163,72.52098
DHS,ALB,Albania,2009,poorest by sex,poorest female,0,96.60081,36.81983,13.38502
DHS,ALB,Albania,2009,poorest by sex,poorest male,0,96.90166,42.76228,19.31215
DHS,ALB,Albania,2009,sex,female,0,97.92196,61.34541,45.94824
DHS,ALB,Albania,2009,sex,male,0,98.46702,67.66534,50.53838
DHS,ALB,Albania,2009,total,total,0,98.19074,64.52068,48.16764
DHS,ALB,Albania,2009,wealth,quintile 1,0,96.75723,39.53157,16.05931
DHS,ALB,Albania,2009,wealth,quintile 2,0,98.47662,57.40649,25.95292
DHS,ALB,Albania,2009,wealth,quintile 3,0,98.87978,65.68275,35.89985
DHS,ALB,Albania,2009,wealth,quintile 4,0,97.92641,76.70622,64.43066
DHS,ALB,Albania,2009,wealth,quintile 5,0,99.38096,92.1357,88.80466
MICS,DZA,Algeria,2012,location,rural,0,91.34109,47.13874,22.15735
MICS,DZA,Algeria,2012,location,urban,0,95.3533,61.74641,32.74187
MICS,DZA,Algeria,2012,poorest by sex,poorest female,0,84.63488,45.90551,22.01545
MICS,DZA,Algeria,2012,poorest by sex,poorest male,0,87.15005,29.57968,11.1698
MICS,DZA,Algeria,2012,sex,female,0,94.45288,64.79161,36.62301
MICS,DZA,Algeria,2012,sex,male,0,93.33231,47.95761,21.29467
MICS,DZA,Algeria,2012,total,total,0,93.88076,56.21536,28.84297
MICS,DZA,Algeria,2012,wealth,quintile 1,0,85.95274,37.51394,16.46058
MICS,DZA,Algeria,2012,wealth,quintile 2,0,95.22021,49.35096,19.22705
MICS,DZA,Algeria,2012,wealth,quintile 3,0,93.8392,54.84898,26.92542
MICS,DZA,Algeria,2012,wealth,quintile 4,0,96.28489,63.76252,32.71893
MICS,DZA,Algeria,2012,wealth,quintile 5,0,98.99157,77.63802,49.02155
DHS,AGO,Angola,2015,location,rural,1,26.95712,9.24357,3.590214
DHS,AGO,Angola,2015,location,urban,1,73.58686,47.29063,24.64648
DHS,AGO,Angola,2015,poorest by sex,poorest female,1,16.46741,3.210159,0.7600099
DHS,AGO,Angola,2015,poorest by sex,poorest male,1,20.61283,5.177548,2.286605
DHS,AGO,Angola,2015,sex,female,1,56.33807,31.80769,15.10541
DHS,AGO,Angola,2015,sex,male,1,63.06788,41.73157,23.48881
DHS,AGO,Angola,2015,total,total,1,59.60476,36.42938,18.63046
DHS,AGO,Angola,2015,wealth,quintile 1,1,18.4805,4.037594,1.428965
DHS,AGO,Angola,2015,wealth,quintile 2,1,30.24373,7.788368,1.457922
DHS,AGO,Angola,2015,wealth,quintile 3,1,61.47851,23.99417,5.796615
DHS,AGO,Angola,2015,wealth,quintile 4,1,76.51398,47.56118,20.42941
DHS,AGO,Angola,2015,wealth,quintile 5,1,88.80721,72.06687,49.91301
DHS,ARM,Armenia,2000,location,rural,0,98.49725,97.39655,75.45538
DHS,ARM,Armenia,2000,location,urban,0,99.49772,99.34232,91.56525
DHS,ARM,Armenia,2000,sex,female,0,99.43209,98.96033,89.47681
DHS,ARM,Armenia,2000,sex,male,0,98.68417,97.98631,80.22361
DHS,ARM,Armenia,2000,total,total,0,99.04924,98.49377,85.04598
DHS,ARM,Armenia,2005,location,rural,0,99.15629,67.90614,18.55075
DHS,ARM,Armenia,2005,location,urban,0,99.68671,75.06003,44.93626
DHS,ARM,Armenia,2005,poorest by sex,poorest female,0,100,61.19936,10.2782
DHS,ARM,Armenia,2005,poorest by sex,poorest male,0,96.5985,57.44563,5.023572
DHS,ARM,Armenia,2005,sex,female,0,100,69.58196,35.81427
DHS,ARM,Armenia,2005,sex,male,0,98.90806,75.89415,34.92253
DHS,ARM,Armenia,2005,total,total,0,99.45461,72.35747,35.45338
DHS,ARM,Armenia,2005,wealth,quintile 1,0,98.24189,59.42199,7.747314
DHS,ARM,Armenia,2005,wealth,quintile 2,0,100,66.69382,16.29258
DHS,ARM,Armenia,2005,wealth,quintile 3,0,99.65773,74.38505,29.23203
DHS,ARM,Armenia,2005,wealth,quintile 4,0,100,75.44041,42.44884
DHS,ARM,Armenia,2005,wealth,quintile 5,0,99.74967,83.89761,70.14427
DHS,ARM,Armenia,2010,location,rural,0,99.70875,98.28149,90.29135
DHS,ARM,Armenia,2010,location,urban,0,100,99.89252,94.90079
DHS,ARM,Armenia,2010,poorest by sex,poorest female,0,100,99.62106,92.74273
DHS,ARM,Armenia,2010,poorest by sex,poorest male,0,99.06021,95.90221,81.52412
DHS,ARM,Armenia,2010,sex,female,0,100,99.82344,96.25376
DHS,ARM,Armenia,2010,sex,male,0,99.7635,98.49255,88.62257
DHS,ARM,Armenia,2010,total,total,0,99.87504,99.28294,93.04728
DHS,ARM,Armenia,2010,wealth,quintile 1,0,99.4829,98.3237,87.84374
DHS,ARM,Armenia,2010,wealth,quintile 2,0,100,98.75637,88.7023
DHS,ARM,Armenia,2010,wealth,quintile 3,0,100,99.33,91.95674
DHS,ARM,Armenia,2010,wealth,quintile 4,0,100,100,98.5182
DHS,ARM,Armenia,2010,wealth,quintile 5,0,100,100,99.06536
DHS,ARM,Armenia,2016,location,rural,0,99.54745,94.6302,51.68048
DHS,ARM,Armenia,2016,location,urban,0,99.0743,98.8923,75.92195
DHS,ARM,Armenia,2016,poorest by sex,poorest female,0,98.61719,99.22202,54.58409
DHS,ARM,Armenia,2016,poorest by sex,poorest male,0,98.71306,85.49471,44.87465
DHS,ARM,Armenia,2016,sex,female,0,99.11263,99.15264,73.71661
DHS,ARM,Armenia,2016,sex,male,0,99.39119,94.66376,55.45558
DHS,ARM,Armenia,2016,total,total,0,99.26774,96.96779,64.70735
DHS,ARM,Armenia,2016,wealth,quintile 1,0,98.66739,92.89554,49.6015
DHS,ARM,Armenia,2016,wealth,quintile 2,0,99.73138,95.48019,57.15262
DHS,ARM,Armenia,2016,wealth,quintile 3,0,97.95835,96.44073,65.30521
DHS,ARM,Armenia,2016,wealth,quintile 4,0,100,100,75.71132
DHS,ARM,Armenia,2016,wealth,quintile 5,0,100,99.65435,77.58321
MICS,AZE,Azerbaijan,2000,location,rural,1,95.75201,83.37989,55.32258
MICS,AZE,Azerbaijan,2000,location,urban,1,98.23834,91.78434,72.40398
MICS,AZE,Azerbaijan,2000,poorest by sex,poorest female,1,95,75.53192,48.90511
MICS,AZE,Azerbaijan,2000,poorest by sex,poorest male,1,93.77991,80.50314,48.79518
MICS,AZE,Azerbaijan,2000,sex,female,1,96.90831,86.22909,62.12121
MICS,AZE,Azerbaijan,2000,sex,male,1,97.21603,89.41505,66.66667
MICS,AZE,Azerbaijan,2000,total,total,1,97.05882,87.75919,64.39909
MICS,AZE,Azerbaijan,2000,wealth,quintile 1,1,94.37653,77.8098,48.84489
MICS,AZE,Azerbaijan,2000,wealth,quintile 2,1,96.94836,88.50574,60.13289
MICS,AZE,Azerbaijan,2000,wealth,quintile 3,1,96.89441,86.72986,63.67925
MICS,AZE,Azerbaijan,2000,wealth,quintile 4,1,98.6413,91.0596,69.96467
MICS,AZE,Azerbaijan,2000,wealth,quintile 5,1,99.03537,96.16725,84.82143
DHS,AZE,Azerbaijan,2006,location,rural,1,96.93472,88.39754,68.61303
DHS,AZE,Azerbaijan,2006,location,urban,1,98.81858,94.24122,80.50307
DHS,AZE,Azerbaijan,2006,poorest by sex,poorest female,1,90.61409,83.0826,36.37363
DHS,AZE,Azerbaijan,2006,poorest by sex,poorest male,1,98.48505,85.74986,70.01553
DHS,AZE,Azerbaijan,2006,sex,female,1,96.71305,89.71059,71.33772
DHS,AZE,Azerbaijan,2006,sex,male,1,99.02304,94.51192,78.94862
DHS,AZE,Azerbaijan,2006,total,total,1,97.9422,91.65569,74.95235
DHS,AZE,Azerbaijan,2006,wealth,quintile 1,1,94.75801,84.28015,53.89435
DHS,AZE,Azerbaijan,2006,wealth,quintile 2,1,98.60269,85.88574,71.18466
DHS,AZE,Azerbaijan,2006,wealth,quintile 3,1,97.77047,91.68028,74.59276
DHS,AZE,Azerbaijan,2006,wealth,quintile 4,1,99.47483,96.94592,81.05176
DHS,AZE,Azerbaijan,2006,wealth,quintile 5,1,99.5546,97.03429,89.58014
DHS,BGD,Bangladesh,2000,location,rural,0,57.97611,35.5882,6.816529
DHS,BGD,Bangladesh,2000,location,urban,0,66.83532,49.98515,24.69323
DHS,BGD,Bangladesh,2000,sex,female,0,61.93779,36.20025,8.929693
DHS,BGD,Bangladesh,2000,sex,male,0,56.89357,41.28314,12.4925
DHS,BGD,Bangladesh,2000,total,total,0,59.57745,38.461,10.53713
DHS,BGD,Bangladesh,2004,location,rural,0,62.79464,37.3679,5.313046
DHS,BGD,Bangladesh,2004,location,urban,0,69.00939,46.07412,15.08541
DHS,BGD,Bangladesh,2004,poorest by sex,poorest female,0,43.04577,6.357906,0
DHS,BGD,Bangladesh,2004,poorest by sex,poorest male,0,27.66386,6.790577,0
DHS,BGD,Bangladesh,2004,sex,female,0,69.18052,41.38096,5.801961
DHS,BGD,Bangladesh,2004,sex,male,0,58.0614,36.91275,10.07717
DHS,BGD,Bangladesh,2004,total,total,0,64.14862,39.37865,7.629466
DHS,BGD,Bangladesh,2004,wealth,quintile 1,0,36.41117,6.535408,0
DHS,BGD,Bangladesh,2004,wealth,quintile 2,0,56.10424,20.95506,0.8136688
DHS,BGD,Bangladesh,2004,wealth,quintile 3,0,66.14027,34.93447,4.648226
DHS,BGD,Bangladesh,2004,wealth,quintile 4,0,80.5834,53.75425,6.534657
DHS,BGD,Bangladesh,2004,wealth,quintile 5,0,79.66487,65.26821,20.19006
MICS,BGD,Bangladesh,2006,location,rural,1,71.66624,44.37694,7.389124
MICS,BGD,Bangladesh,2006,location,urban,1,75.34474,56.49372,23.79886
MICS,BGD,Bangladesh,2006,poorest by sex,poorest female,1,59.70763,18.87363,0.7043744
MICS,BGD,Bangladesh,2006,poorest by sex,poorest male,1,44.65781,17.62023,1.339509
MICS,BGD,Bangladesh,2006,sex,female,1,78.15853,50.72468,9.991375
MICS,BGD,Bangladesh,2006,sex,male,1,67.0115,45.01038,16.22499
MICS,BGD,Bangladesh,2006,total,total,1,72.70892,48.04081,12.69316
MICS,BGD,Bangladesh,2006,wealth,quintile 1,1,52.02114,18.30951,0.9063262
MICS,BGD,Bangladesh,2006,wealth,quintile 2,1,64.72682,30.42089,2.477714
MICS,BGD,Bangladesh,2006,wealth,quintile 3,1,75.46774,42.71365,5.770401
MICS,BGD,Bangladesh,2006,wealth,quintile 4,1,82.58755,59.24279,12.31656
MICS,BGD,Bangladesh,2006,wealth,quintile 5,1,85.72202,76.09624,33.1465
DHS,BGD,Bangladesh,2007,location,rural,0,66.82939,39.60946,5.264461
DHS,BGD,Bangladesh,2007,location,urban,0,69.11466,48.73016,16.91101
DHS,BGD,Bangladesh,2007,poorest by sex,poorest female,0,52.14394,21.19965,0
